index,label
1,中央前回-左
2,中央前回-右
3,额上回-左
4,额上回-右
5,额上回眶部-左
6,额上回眶部-右
7,额中回-左
8,额中回-右
9,额中回眶部-左
10,额中回眶部-右
11,额下回盖部-左
12,额下回盖部-右
13,额下回三角部-左
14,额下回三角部-右
15,额下回眶部-左
16,额下回眶部-右
17,中央沟盖部-左
18,中央沟盖部-右
19,辅助运动区-左
20,辅助运动区-右
21,嗅皮层-左
22,嗅皮层-右
23,额上内侧回-左
24,额上内侧回-右
25,内侧眶额回-左
26,内侧眶额回-右
27,直回-左
28,直回-右
29,岛叶-左
30,岛叶-右
31,前扣带回-左
32,前扣带回-右
33,中扣带回-左
34,中扣带回-右
35,后扣带回-左
36,后扣带回-右
37,海马-左
38,海马-右
39,海马旁回-左
40,海马旁回-右
41,杏仁核-左
42,杏仁核-右
43,距状沟皮层-左
44,距状沟皮层-右
45,楔叶-左
46,楔叶-右
47,舌回-左
48,舌回-右
49,枕上回-左
50,枕上回-右
51,枕中回-左
52,枕中回-右
53,枕下回-左
54,枕下回-右
55,梭状回-左
56,梭状回-右
57,中央后回-左
58,中央后回-右
59,顶上小叶-左
60,顶上小叶-右
61,顶下小叶-左
62,顶下小叶-右
63,缘上回-左
64,缘上回-右
65,角回-左
66,角回-右
67,楔前叶-左
68,楔前叶-右
69,旁中央小叶-左
70,旁中央小叶-右
71,尾状核-左
72,尾状核-右
73,壳核-左
74,壳核-右
75,苍白球-左
76,苍白球-右
77,丘脑-左
78,丘脑-右
79,颞横回-左
80,颞横回-右
81,颞上回-左
82,颞上回-右
83,颞极上回-左
84,颞极上回-右
85,颞中回-左
86,颞中回-右
87,颞极中回-左
88,颞极中回-右
89,颞下回-左
90,颞下回-右
91,小脑脚I-左
92,小脑脚I-右
93,小脑脚II-左
94,小脑脚II-右
95,小脑3区-左
96,小脑3区-右
97,小脑4-5区-左
98,小脑4-5区-右
99,小脑6区-左
100,小脑6区-右
101,小脑7b区-左
102,小脑7b区-右
103,小脑8区-左
104,小脑8区-右
105,小脑9区-左
106,小脑9区-右
107,小脑10区-左
108,小脑10区-右
109,小脑蚓部1-2区
110,小脑蚓部3区
111,小脑蚓部4-5区
112,小脑蚓部6区
113,小脑蚓部7区
114,小脑蚓部8区
115,小脑蚓部9区
116,小脑蚓部10区
